                               Güterart |      Freq.     Percent        Cum.
                   ACKERSCHLEPPER-MäHER |          1        0.00       74.08
           ACRYL- UND DISPERSIONSFARBEN |          1        0.00       74.08
         ACRYL-FARBEN,DISPERSIONSFARBEN |          1        0.00       74.08
            ACRYL-UND DISPERSIONSFARBEN |          1        0.00       74.09
                             ACRYLLACKE |          1        0.00       74.09
               AD-SYSTEM(ANTI-DEKUBIKO) |          1        0.00       74.09
                     ADR KL.3 ZIFF. 31C |          1        0.00       74.09
                                    AFG |          1        0.00       74.09
                            AFG LEERGUT |          1        0.00       74.09
                               AGGREGAT |          2        0.00       74.09
                                AGRAGAT |          1        0.00       74.09
                          AGRARPRODUKTE |          3        0.00       74.09
                                AGREGAT |          3        0.00       74.10
                   AGREGAT/ BOSCHHAMMER |          2        0.00       74.10
                                  AKTEN |         22        0.02       74.12
                     AKTEN, ERSATZTEILE |          3        0.00       74.12
                           AKTEN, PLäNE |          3        0.00       74.12
                            AKTEN/ POST |          2        0.00       74.12
                      AKTEN/ UNTERLAGEN |         11        0.01       74.13
                            AKTENORDNER |          2        0.00       74.13
                  AKTENORDNER (GEFüLLT) |          1        0.00       74.14
                  AKUSTIK DECKENPLATTEN |          1        0.00       74.14
                      AKUSTIKDäMMSTOFFE |          1        0.00       74.14
                             AL PROFILE |          1        0.00       74.14
                  ALBAPHOS DOSTERMITTEL |          1        0.00       74.14
      ALKOHOLFREIE ERFRISCHUNGSGETRäNKE |          1        0.00       74.14
           ALLG. LEBENSMITTEL /GETRäNKE |          1        0.00       74.14
        ALLG. LEBENSMITTEL UND GETRäNKE |          1        0.00       74.14
                   ALLGEM. KAUFMANNSGUT |          2        0.00       74.14
  ALLGEN.BETR.EINKäUFE UND LEBENSMITTEL |          1        0.00       74.14
                     ALLUMINIUMBAUTEILE |          1        0.00       74.14
                               ALT-HOLZ |          1        0.00       74.15
                             ALT-ORDNER |          1        0.00       74.15
                           ALTBATTERIEN |          3        0.00       74.15
                              ALTCHEMIE |          1        0.00       74.15
                           ALTE BRETTER |          1        0.00       74.15
                             ALTE BäUME |          1        0.00       74.15
                   ALTE BäUME STRäUCHER |          1        0.00       74.15
             ALTE DACHLATTEN, BAUSCHUTT |          1        0.00       74.15
                           ALTE FENSTER |          3        0.00       74.16
              ALTE FENSTER / ENTSORGUNG |          1        0.00       74.16
                           ALTE HAUSTüR |          1        0.00       74.16
                        ALTE HOLZDECKEL |          2        0.00       74.16
                       ALTE HOLZFENSTER |          1        0.00       74.16
                         ALTE ZEITUNGEN |          1        0.00       74.16
               ALTEN WARMWASSERBEREITER |          1        0.00       74.16
                            ALTFAHRZEUG |          2        0.00       74.16
                ALTFAHRZEUG (LEERFAHRT) |          1        0.00       74.16
                           ALTFAHRZEUGE |          2        0.00       74.17
                             ALTFENSTER |          2        0.00       74.17
                              ALTGERäTE |          2        0.00       74.17
                                ALTGLAS |          8        0.01       74.18
                                ALTHOLZ |          7        0.01       74.18
                  ALTHOLZ UND - FENSTER |          1        0.00       74.18
                   ALTHOLZ UND -FENSTER |          1        0.00       74.18
                      ALTHOLZ/SPERRMüLL |          1        0.00       74.18
                             ALTKLEIDER |         16        0.01       74.20
                         ALTMEDIKAMENTE |          7        0.01       74.20
                                 ALTOEL |          1        0.00       74.20
                              ALTPAPIER |         37        0.03       74.24
                      ALTPAPIER - PAPPE |          1        0.00       74.24
                         ALTPAPIER LOSE |          2        0.00       74.24
                    ALTPAPIER UND PAPPE |          1        0.00       74.24
          ALTPAPIER, ALTGLAS, ALTMETALL |          1        0.00       74.24
                      ALTPAPIERBEHäLTER |          2        0.00       74.24
                              ALTREIFEN |          1        0.00       74.24
                             ALTSCHEIBE |          1        0.00       74.24
             ALTSTYROPOR ZUR VERWERTUNG |          1        0.00       74.24
                               ALTTEILE |          1        0.00       74.24
                            ALTTEXILIEN |          1        0.00       74.25
                           ALTTEXTILIEN |          2        0.00       74.25
                                  ALTöL |          8        0.01       74.25
                ALTöL UND LöSUNGSMITTEL |          1        0.00       74.25
                                    ALU |         11        0.01       74.26
                           ALU FESTZELT |          1        0.00       74.26
                     ALU PROFILMATERIAL |          1        0.00       74.27
       ALU PROFILMATERIAL SCHLEIFPAPIER |          1        0.00       74.27
                             ALU PROHLE |          1        0.00       74.27
                          ALU-AUTOTEILE |          3        0.00       74.27
                             ALU-BLECHE |          2        0.00       74.27
                           ALU-ELEMENTE |          2        0.00       74.27
                             ALU-PANEEL |          1        0.00       74.27
                            ALU-PLATTEN |          1        0.00       74.27
                            ALU-PROFILE |          1        0.00       74.28
                  ALU-PROFILE + ZUBEHöR |          1        0.00       74.28
                              ALU-SPäNE |          1        0.00       74.28
                            ALU-TROFILE |          1        0.00       74.28
                               ALUBäNKE |          1        0.00       74.28
                              ALUMINIUM |          4        0.00       74.28
                      ALUMINIUM PROFILE |          3        0.00       74.29
                        ALUMINIUM-BLECH |          2        0.00       74.29
                       ALUMINIUM-BLöCKE |          1        0.00       74.29
               ALUMINIUM-TAFEL (DIBOND) |          1        0.00       74.29
                       ALUMINIUMABFäLLE |          1        0.00       74.29
                        ALUMINIUMBLECHE |          4        0.00       74.29
                      ALUMINIUMELEMENTE |          1        0.00       74.29
                       ALUMINIUMFENSTER |          1        0.00       74.29
                       ALUMINIUMPROFILE |          6        0.01       74.30
                         ALUMINIUMTEILE |          2        0.00       74.30
                    ALUMINIUMTEILE/GLAS |          1        0.00       74.30
                          ALUMINUM BOOT |          1        0.00       74.30
                               ALUTEILE |          1        0.00       74.30
                              AM MUSTER |          1        0.00       74.30
                               AMATUREN |         11        0.01       74.31
                            AMPELANLAGE |          1        0.00       74.31
                               AMPULLEN |          1        0.00       74.32
                     ANBAUWALZENSTREUER |          1        0.00       74.32
                              ANBAUWAND |          2        0.00       74.32
                           ANDERE GÜTER |          1        0.00       74.32
                           ANDERE GüTER |         23        0.02       74.34
                         ANFüLLMATERIAL |          2        0.00       74.34
                               ANHäNGER |          2        0.00       74.34
               ANHäNGER FüR SCHAUKäSTEN |          1        0.00       74.34
                    ANHäNGER KOMPRESSOR |          3        0.00       74.34
                    ANHäNGER MIT AUFBAU |          1        0.00       74.35
                    ANHäNGER, WERKZEUGE |          1        0.00       74.35
                      ANHäNGER-KUPPLUNG |          2        0.00       74.35
            ANHäNGER/CARAVANS à 1000 KG |          1        0.00       74.35
                               ANLASSER |          2        0.00       74.35
                         ANSCHLAGMITTEL |          1        0.00       74.35
                          ANSCHLAGTAFEL |          1        0.00       74.35
                       ANSCHLUßMATERIAL |          1        0.00       74.35
                         ANSTRICHSTOFFE |          1        0.00       74.35
                    ANTENNENHALTERUNGEN |          1        0.00       74.35
                           ANTIKe möbel |          1        0.00       74.36
                               ANTRIEBE |          5        0.00       74.36
            ANTRIEBSKETTE FüR LADEWAGEN |          1        0.00       74.36
                        ANTRIEBSMOTOREN |          5        0.00       74.36
                          ANWALTS-AKTEN |          1        0.00       74.37
                           ANWLATSAKTEN |          1        0.00       74.37
                          ANZUG + HANDY |          1        0.00       74.37
                    APFELSAFTKONZENTRAT |          1        0.00       74.37
                             APFELSINEN |          2        0.00       74.37
                       APOTHEKENARTIKEL |          1        0.00       74.37
          APOTHEKENSCHRANK,ARZNEIMITTEL |          3        0.00       74.37
                         APOTHEKENWAREN |          4        0.00       74.38
                    AQUARIUM MIT WASSER |          1        0.00       74.38
                           ARBEITSBüHNE |          3        0.00       74.38
      ARBEITSBüHNE UND PARTERREWERKZEUG |          1        0.00       74.38
                           ARBEITSCHUTZ |          1        0.00       74.38
            ARBEITSGERäT, TEERSCHNEIDER |          1        0.00       74.38
                          ARBEITSGERäTE |         35        0.03       74.41
              ARBEITSGERäTE, E-MATERIAL |          1        0.00       74.41
            ARBEITSGERäTE, RüTTELPLATTE |          2        0.00       74.41
                          ARBEITSGERüST |          1        0.00       74.42
               ARBEITSKLEIDUNG/MATERIAL |          1        0.00       74.42
                        ARBEITSMASCHINE |          5        0.00       74.42
                       ARBEITSMASCHINEN |          4        0.00       74.42
              ARBEITSMASCHINEN, ABFäLLE |          2        0.00       74.43
                            ARBEITSMAT. |          2        0.00       74.43
      ARBEITSMAT., PUTZMASCHINE, GERüST |          1        0.00       74.43
                        ARBEITSMATERIAL |         12        0.01       74.44
                ARBEITSMATERIAL, GERüST |          1        0.00       74.44
                     ARBEITSMATERIALIEN |          1        0.00       74.44
ARBEITSMATERIALIEN, SCHALTAFELN, HEIZGE |          1        0.00       74.44
                          ARBEITSMITTEL |         12        0.01       74.45
               ARBEITSMITTEL (WERKZEUG) |          4        0.00       74.45
               ARBEITSMITTEL/E-MATERIAL |          2        0.00       74.46
                          ARBEITSPLATTE |          1        0.00       74.46
                     ARBEITSPLATTE 15KG |          1        0.00       74.46
         ARBEITSPLATTE/TüRFRONTEN KüCHE |          3        0.00       74.46
                         ARBEITSPLATTEN |          2        0.00       74.46
     ARBEITSPROBEN; ANSCHAUUNGSMATERIAL |          2        0.00       74.46
                          ARBEITSSCHUTZ |          2        0.00       74.46
                ARBEITSSCHUTZBEKLEIDUNG |          1        0.00       74.47
                  ARBEITSSCHUTZKLEIDUNG |          2        0.00       74.47
                    ARBEITSSCHUTZMITTEL |          1        0.00       74.47
                        ARBEITSWERKZEUG |          1        0.00       74.47
                                ARMATUR |          1        0.00       74.47
         ARMATUR F. HEISSWASSERSPEICHER |          1        0.00       74.47
                              ARMATUREN |         14        0.01       74.48
                  ARMATUREN ERSATZTEILE |          1        0.00       74.48
                    ARMATUREN, FITTINGS |          1        0.00       74.48
                     ARMATUREN,FITTINGS |          1        0.00       74.49
                         ARMATURENTEILE |          2        0.00       74.49
                              ARMIERUNG |          1        0.00       74.49
                        ARMIERUNGSMASSE |          1        0.00       74.49
ARTIKEL F. WASCHRAUMHYGIENE / FUß-MATTE |          6        0.01       74.49
                          ARZENEIMITTEL |          8        0.01       74.50
                    ARZHEIMITTEL-MUSTER |          1        0.00       74.50
                 ARZNEI + VERBANDSTOFFE |          1        0.00       74.50
                     ARZNEIEN IN WANNEN |          3        0.00       74.50
                           ARZNEIMITTEL |         45        0.04       74.54
               ARZNEIMITTEL IN BEHäLTER |          1        0.00       74.54
                ARZNEIMITTEL INFUSIONEN |          1        0.00       74.54
                ARZNEIMITTEL, KOSMETIKA |          4        0.00       74.55
                     ARZNEIMITTELMUSTER |          3        0.00       74.55
                           ARZNEIMUSTER |          6        0.01       74.55
                            ARZNEIWAREN |          3        0.00       74.56
                          ARZTNEIMITTEL |          1        0.00       74.56
                           ASP-BEHäLTER |          1        0.00       74.56
                                ASPHALT |         15        0.01       74.57
                      ASPHALT BERON 015 |          1        0.00       74.57
                        ASPHALT-FRäSGUT |          4        0.00       74.58
                        ASPHALTAUFBRUCH |          1        0.00       74.58
                        ASPHALTAUSBRUCH |          1        0.00       74.58
                           ASPHALTBETON |          2        0.00       74.58
                           ASPHALTBRUCH |          1        0.00       74.58
                   ASPHALTSCHNEIDEGERäT |          4        0.00       74.58
            ASPHALTTRAGDECKSCHICHT 0/16 |          1        0.00       74.58
             ASPHALTTRAGSCHICHT(ABFUHR) |          1        0.00       74.59
                           ASPHALTWALZE |          2        0.00       74.59
                           ASPHALTbeton |          1        0.00       74.59
                  AST- UND RASENSCHNITT |          1        0.00       74.59
                                ASTHOLZ |          1        0.00       74.59
                             ASTSCHNITT |          4        0.00       74.59
                            AT-GETRIEBE |          1        0.00       74.59
                               AT-TEILE |          2        0.00       74.60
           ATEMSCHUTZGERäTE MIT ZUBEHöR |          6        0.01       74.60
              AUDIOLOGISCHE ERSATZTEILE |          1        0.00       74.60
                    AUFGESAMMELTER MüLL |          1        0.00       74.60
                             AUFKLEPPER |          1        0.00       74.60
                     AUFLAUFEINRICHTUNG |          1        0.00       74.60
                    AUFRICHTESCHACHTELN |          1        0.00       74.60
          AUFSANG UND FILTERMATERIALIEN |          1        0.00       74.61
                        AUFSCHNITTWAREN |          1        0.00       74.61
   AUFSITZRASENMäHER,HANDRASENMäHER,... |          1        0.00       74.61
         AUFSITZRASENMäHER,WERKZEUG,... |          1        0.00       74.61
                             AUFTAUSALZ |          1        0.00       74.61
                    AUFTAUSALZ UND SOLE |          1        0.00       74.61
                                 AUFZUG |          2        0.00       74.61
                     AUFZUG ERSATZTEILE |          2        0.00       74.61
                   AUFZUGS PRüFGEWICHTE |          2        0.00       74.61
                           AUFZUGSTEILE |          1        0.00       74.62
                       AUOT-ERSATZTEILE |          1        0.00       74.62
                  AUSBAU- U. PRüFGERäTE |          1        0.00       74.62
                          AUSBAUPLATTEN |          1        0.00       74.62
                    AUSBILDUNGSMATERIAL |          2        0.00       74.62
                       AUSDEHNUNGSGEFäß |          1        0.00       74.62
                           AUSGANGSPOST |          1        0.00       74.62
                         AUSGLEICHMASSE |          1        0.00       74.62
                        AUSGLEICHSMASSE |          1        0.00       74.62
               AUSGLEICHSMASSE + KLEBER |          1        0.00       74.62
                                AUSGUSS |          1        0.00       74.62
                    AUSHANG SCHAUKäSTEN |          1        0.00       74.63
                                 AUSHUB |         28        0.02       74.65
                            AUSHUB/ERDE |          1        0.00       74.65
                         AUSHUBMATERIAL |          3        0.00       74.65
                   AUSHUBMATERIAL BODEN |          1        0.00       74.65
                         AUSHUBUNGSMAT. |          2        0.00       74.65
          AUSHUBUNGSMATERIAL/AUFFüLLUNG |          1        0.00       74.66
                   AUSHäNGE SCHAUKASTEN |          4        0.00       74.66
                            AUSLEGEWARE |          1        0.00       74.66
          AUSLEGEWARE- TEPPICHE-POLSTER |          1        0.00       74.66
                             AUSLEGWARE |          2        0.00       74.66
                                AUSPUFF |          1        0.00       74.66
                   AUSPUFF-ANLAGENTEILE |          1        0.00       74.66
                           AUSPUFFTEILE |          1        0.00       74.67
           AUSRüSTUNG & SCHWEIßMATERIAL |          1        0.00       74.67
             AUSRüSTUNG FüR BOHRSTELLEN |          1        0.00       74.67
                AUSSTATTUNGSGEGENSTäNDE |          1        0.00       74.67
                     AUSSTELLUNGS-TüREN |          1        0.00       74.67
                   AUSSTELLUNGSVITRINEN |          1        0.00       74.67
                        AUSTAUSCH MULDE |          1        0.00       74.67
             AUSZIEHBARE SPROSSENLEITER |          4        0.00       74.67
                                   AUTO |          1        0.00       74.67
                       AUTO ERSATZTEILE |          3        0.00       74.68
                          AUTOBATTERIEN |          1        0.00       74.68
                        AUTOERSATZTEILE |          7        0.01       74.68
               AUTOERSATZTEILE, LEERGUT |          1        0.00       74.68
                               AUTOGLAS |          2        0.00       74.69
                       AUTOGLASSCHEIBEN |          5        0.00       74.69
                              AUTOMATEN |          3        0.00       74.69
                        AUTOMATEN, WARE |          1        0.00       74.69
                    AUTOMATENBESTüCKUNG |          1        0.00       74.69
                         AUTOMOBILTEILE |          6        0.01       74.70
                          AUTOS,SCHROTT |          2        0.00       74.70
